,place_id,name,main_category,categories,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
885,ChIJuzOjzqBjoDER1oHXpGh4ito,Quán Ăn THÍCH DÊ,Nhà hàng gia đình,Nhà hàng gia đình,,"2QFR+27Q Quán Ăn THÍCH DÊ, KDC Hưng Phú 1, Cái Răng, Cần Thơ, Việt Nam","KDC Hưng Phú 1, Cái Răng",2QFR+27Q,Cần Thơ,,"Cái Răng, Cần Thơ",VN
892,ChIJS-9JPB2IoDERTTRe9uN_wM0,Quán Nghêu - Sò - Ốc Ngọc,Nhà hàng,Nhà hàng,,"2QRJ+X3M Quán Nghêu - Sò - Ốc Ngọc, Đ. Đinh Tiên Hoàng, An Hội, Ninh Kiều, Cần Thơ, Việt Nam","An Hội, Ninh Kiều","2QRJ+X3M, Đ. Đinh Tiên Hoàng",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
896,ChIJscgRnA9joDERrFKtQNFaCVg,Cơm tấm Dì Năm (Ninh Kiều),Quán ăn nhỏ,Quán ăn nhỏ,+84 901 213 114,"Cơm tấm Dì Năm (Ninh Kiều), đối diện Yamaha, Nhà lồng 3 Trung Tâm Thương Mại, Trần Văn Khéo, Hồng Phúc, Ninh Kiều, Cần Thơ, Việt Nam","Hồng Phúc, Ninh Kiều","đối diện Yamaha, Nhà lồng 3 Trung Tâm Thương Mại, Trần Văn Khéo",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
905,ChIJxRjDM6SJoDERS4XWmS4M-p0,Quán Cơm Hẻm 131B,Nhà hàng,Nhà hàng,,"Quán Cơm Hẻm 131B, 131B Nguyễn Văn Cừ (ND, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",131B Nguyễn Văn Cừ (ND,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
908,ChIJ0VCupPaJoDERgCy1WP6Z50Y,Cơm Mẹ Nấu,Quán ăn nhỏ,Quán ăn nhỏ,,"2QV5+CWV Cơm Mẹ Nấu, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",2QV5+CWV,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
909,ChIJ15gJSCOJoDERSjv9PAgAgaU,Quán lẩu SinVi,Quán ăn nhỏ,Quán ăn nhỏ,+84 979 563 212,"Quán lẩu SinVi, Số 63 Đ.Số 4, khu dân cư Thới Nhựt 2, Ninh Kiều, Cần Thơ, Việt Nam","khu dân cư Thới Nhựt 2, Ninh Kiều",Số 63 Đ.Số 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
912,ChIJsbGWMhKIoDERLDGrQLppm5Y,Quán Nem Nướng Ngọc Trang,Nhà hàng,Nhà hàng,+84 832 323 335,"2QR7+H3G Quán Nem Nướng Ngọc Trang, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",2QR7+H3G,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
913,ChIJEzOI4o-JoDER_b1EoHNTL4w,Cơm gà Lê Gia,Quán ăn nhỏ,Quán ăn nhỏ,+84 899 167 166,"2PCR+8WP Cơm gà Lê Gia, Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều","2PCR+8WP, Nguyễn Văn Cừ Nối Dài",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
915,ChIJeUsCz4KJoDER1i4qXmTOymk,Quán Ăn Hằng Ni,Quán ăn nhẹ,Quán ăn nhẹ,+84 946 484 417,"Quán Ăn Hằng Ni, Nhơn Hưng A, Phong Điền, Cần Thơ, Việt Nam","Nhơn Hưng A, Phong Điền",,Cần Thơ,,"Phong Điền, Cần Thơ",VN
917,ChIJU-MFR8CJoDERDXoAwVxdN7k,Quán Ăn Gia Hân,Nhà hàng,Nhà hàng,,"2MHV+2GH Quán Ăn Gia Hân, Đ. Bùi Hữu Nghĩa, Giai Xuân, Phong Điền, Cần Thơ, Việt Nam","Giai Xuân, Phong Điền","2MHV+2GH, Đ. Bùi Hữu Nghĩa",Cần Thơ,,"Phong Điền, Cần Thơ",VN
919,ChIJIV3Vr02JoDERwZWEM5v7WQI,Quán Chay Thiện Tâm KC,Quán ăn nhỏ,Quán ăn nhỏ,,"Quán Chay Thiện Tâm KC, 360 Lê Bình, Yên Hạ, Khu Vực, Cái Răng, Cần Thơ, Việt Nam","Khu Vực, Cái Răng","360 Lê Bình, Yên Hạ",Cần Thơ,,"Cái Răng, Cần Thơ",VN
922,ChIJPTaTOjaIoDERhjjgx6ZHIv0,Maika Quán - Bún Thịt Xào,Quán ăn nhỏ,Quán ăn nhỏ,+84 968 695 529,"Maika Quán - Bún Thịt Xào, Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
930,ChIJFa76GaBioDERGeNk9s4j0T4,Quán Bún Riêu Cua 13,Quán ăn tự phục vụ,Quán ăn tự phục vụ,+84 292 3824 099,"Quán Bún Riêu Cua 13, 13 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",13 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
932,ChIJ1fB_uSFjoDERgZh1DtYjCmA,Làng Quê quán,Nhà hàng,Nhà hàng,,"Làng Quê quán, 14 Đ. Lương Định Của, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",14 Đ. Lương Định Của,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
934,ChIJz3tm6kSIoDERrcEb_QctVME,Quán ăn Tuấn Anh,Quán ăn nhỏ,Quán ăn nhỏ,,"Quán ăn Tuấn Anh, 28 Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",28 Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
937,ChIJ67U-RUGIoDERiFji2vxsO3s,Quán Ăn Tây Đô,Quán ăn nhỏ,Quán ăn nhỏ,,"2QH3+Q68 Quán Ăn Tây Đô, Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều","2QH3+Q68, Đ. Nguyễn Văn Linh",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
940,ChIJJSnNSkKIoDERE2KRyPKb6Vc,Quán Ăn Đốc Tờ Dê,Nhà hàng,Nhà hàng,,"Quán Ăn Đốc Tờ Dê, 290G Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",290G Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
942,ChIJfRQEsSWJoDER9tK7GwX891k,Hủ Tiếu Gõ,Quán ăn nhỏ,Quán ăn nhỏ,,"2PCR+5H8 Hủ Tiếu Gõ, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",2PCR+5H8,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
944,ChIJ_Y8gJ_eJoDERDv_c54swLDM,Quán Cơm Anh Em,Quán ăn nhỏ,Quán ăn nhỏ,+84 965 691 561,"2Q83+2XG Quán Cơm Anh Em, Hẻm 38 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều","2Q83+2XG, Hẻm 38 Đ. 3 Tháng 2",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
947,ChIJ2fw6RUWIoDERLTogVMCewAM,Quán Tư Cang,Nhà hàng,Nhà hàng,+84 945 671 899,"Quán Tư Cang, 6 Đường số 3, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",6 Đường số 3,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
948,ChIJ94uwJ2GJoDER-Cu6N5hcewM,Quán Ăn Tiền Ký,Quán ăn nhẹ,Quán ăn nhẹ,,"Quán Ăn Tiền Ký, 429 QL1A, Lê Bình, Cái Răng, Cần Thơ, Việt Nam","Lê Bình, Cái Răng",429 QL1A,Cần Thơ,,"Cái Răng, Cần Thơ",VN
951,ChIJdWLX3rSPoDERsJMrIxLC978,Quán Ăn Cô Hoa,Quán ăn nhỏ,Quán ăn nhỏ,,"Quán Ăn Cô Hoa, 249 ĐT923, Thị trấn Phong Điền, Phong Điền, Cần Thơ, Việt Nam","Thị trấn Phong Điền, Phong Điền",249 ĐT923,Cần Thơ,,"Phong Điền, Cần Thơ",VN
967,ChIJJZkRojOJoDER794QGue41f0,Quán 7979,Nhà hàng,Nhà hàng,,"Quán 7979, 41 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",41 Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
972,ChIJx9XXX0mJoDER4wtbVkJOcnk,Orange T - Cần Thơ,Quán ăn nhỏ,Quán ăn nhỏ,+84 349 984 843,"Orange T - Cần Thơ, 67 Đ. Trương Định, Tân An, Ninh Kiều, Cần Thơ 90000, Việt Nam","Tân An, Ninh Kiều",67 Đ. Trương Định,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
973,ChIJozo2SxKIoDER4yEFgxU7UcU,Quán Ăn Tư Cang,Nhà hàng ăn nhanh,Nhà hàng ăn nhanh,+84 946 871 899,"Quán Ăn Tư Cang, 126, Nguyễn Văn Cừ, Quận Ninh Kiều, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều","126, Nguyễn Văn Cừ, Quận Ninh Kiều",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
974,ChIJW0Kj3yiJoDERIdMkqXpQd9c,Quán ăn sáng Bún vịt - bao tử cay,Quán ăn nhẹ,Quán ăn nhẹ,,"Quán ăn sáng Bún vịt - bao tử cay, 59 Đường số 25, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",59 Đường số 25,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
975,ChIJo5_7AeWJoDERRkr6s2EJlLU,Quán Ăn Nhật bản 6 Đời 1,Nhà hàng Nhật Bản,Nhà hàng Nhật Bản,,"Quán Ăn Nhật bản 6 Đời 1, 132 Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",132 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
976,ChIJ50Dx4lxjoDERoYgcgdE7LEo,Quán ăn Cô Ba,Nhà hàng,Nhà hàng,+84 869 951 170,"Quán ăn Cô Ba, 06 Hẻm 22 Đ. Mạc Đĩnh Chi, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",06 Hẻm 22 Đ. Mạc Đĩnh Chi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
977,ChIJW7sDTx6JoDERiSrj3d3M_l0,Quán ăn Phúc,Nhà hàng,Nhà hàng,,"Quán ăn Phúc, 39 Ngô Sỹ, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",39 Ngô Sỹ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
978,ChIJc4A--EKIoDERnTGmz-MVyuY,Quán Ăn Việt Ý,Nhà hàng,Nhà hàng,+84 292 3894 511,"Quán Ăn Việt Ý, 151A8 KDC Thới Nhựt, Quận Ninh Kiều, Tp Cần Thơ, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều","151A8 KDC Thới Nhựt, Quận Ninh Kiều, Tp Cần Thơ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
979,ChIJX0FUCO-HoDERQzZRWPiu4EU,Ẩm thực sân vườn Cồn Khương,Quán ăn nhỏ,Quán ăn nhỏ,+84 909 055 979,"3Q4H+5JH Ẩm thực sân vườn Cồn Khương, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",3Q4H+5JH,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
980,ChIJYw16ffeJoDERtRlZqZbPHUg,ẨM THỰC SÂN VƯỜN - CÂU CÁ GIẢI TRÍ HƯƠNG ĐỒNG,Nhà hàng gia đình,Nhà hàng gia đình,+84 908 673 200,"3Q3J+88 ẨM THỰC SÂN VƯỜN - CÂU CÁ GIẢI TRÍ HƯƠNG ĐỒNG, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",3Q3J+88,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
988,ChIJFQrm6oGJoDERYNX4pEV6uMw,Quán ăn Thanh Thủy Hẻm 51,Nhà hàng,Nhà hàng,+84 908 342 939,"Quán ăn Thanh Thủy Hẻm 51, 1 Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",1 Hẻm 51,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
989,ChIJ0RVFi59ioDERn7rml0LxEVg,Quán Cơm Chay Thien Phuoc,Nhà hàng,Nhà hàng,+84 977 883 038,"Quán Cơm Chay Thien Phuoc, 81 Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",81 Đ. Nam Kỳ Khởi Nghĩa,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
990,ChIJkXnk9CqIoDERgBK7hLem0vE,Quán Ăn - Phục Vụ Ca Cổ Ngọc Lan Quán,Nhà hàng,Nhà hàng,+84 939 620 107,"2Q7J+C59 Quán Ăn - Phục Vụ Ca Cổ Ngọc Lan Quán, Võ Nguyên Giáp, Hưng Phú, Cái Răng, Cần Thơ, Việt Nam","Hưng Phú, Cái Răng","2Q7J+C59, Võ Nguyên Giáp",Cần Thơ,,"Cái Răng, Cần Thơ",VN
991,ChIJPTwnbKtjoDER_11TXcTjE_0,Quán nướng 3 Chì,Nhà hàng,Nhà hàng,+84 584 444 833,"2QVV+X49 Quán nướng 3 Chì, công viên, Bờ kè, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều","2QVV+X49 công viên, Bờ kè",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
996,ChIJe3S5Db9joDER2rtsXv8Sfg4,Cháo Ếch Singapore Geylang - Cần Thơ,Nhà hàng,Nhà hàng,+84 935 203 023,"Cháo Ếch Singapore Geylang - Cần Thơ, 107 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",107 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1005,ChIJjVz1mgOIoDERVcPg12Isnko,Quán Phở Nhật Anh,Nhà hàng,Nhà hàng,,"Quán Phở Nhật Anh, 17 Đ. Phạm Ngũ Lão, Thới Bình, Ninh Kiều, Cần Thơ, Việt Nam","Thới Bình, Ninh Kiều",17 Đ. Phạm Ngũ Lão,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1018,ChIJtZC0x7qJoDERw3BvI7i2Lng,Quán Nhà tôi: Có,Nhà hàng ăn nhanh,Nhà hàng ăn nhanh,,"Quán Nhà tôi: Có, 115a Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",115a Đ. Nguyễn Tri Phương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1021,ChIJUbjxWriJoDERlKiD8CISB6g,Quán Ăn 94 Hẹn,Nhà hàng,Nhà hàng,+84 777 145 896,"Quán Ăn 94 Hẹn, 112 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",112 Đ. Trần Hoàng Na,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1022,ChIJvW_X8lCJoDERbaGbjESETHs,Quán Cơm,Nhà hàng,Nhà hàng,+84 996 202 533,"2Q62+HVQ Quán Cơm, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",2Q62+HVQ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1023,ChIJBRwdWDCIoDERfQafgxifgxk,Quán Ăn Nam Bộ Phố Đêm,Nhà hàng,Nhà hàng,+84 292 3736 541,"Quán Ăn Nam Bộ Phố Đêm, 268/48, Đường Nguyễn Văn Linh, Quận Ninh Kiều, Tp Cần Thơ, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều","268/48, Đường Nguyễn Văn Linh, Quận Ninh Kiều, Tp Cần Thơ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1026,ChIJ6V3te1SJoDERt0IYv6ZUQaI,QUÁN ĂN GIA ĐÌNH VƯỜN DÂU,Nhà hàng gia đình,Nhà hàng gia đình,+84 919 880 016,"XPR4+7Q5 QUÁN ĂN GIA ĐÌNH VƯỜN DÂU, Nguyễn Văn Cừ Nối Dài, Mỹ Khánh, Phong Điền, Cần Thơ, Việt Nam","Mỹ Khánh, Phong Điền","XPR4+7Q5, Nguyễn Văn Cừ Nối Dài",Cần Thơ,,"Phong Điền, Cần Thơ",VN
1030,ChIJd-bnH6GJoDER35hZ33YtMv0,Quán ăn gia đình Huỳnh Như,Nhà hàng,Nhà hàng,+84 907 194 132,"Quán ăn gia đình Huỳnh Như, 6 Đường Trần Hoàng Na, Hưng Thành, Cái Răng, Cần Thơ, Việt Nam","Hưng Thành, Cái Răng",6 Đường Trần Hoàng Na,Cần Thơ,,"Cái Răng, Cần Thơ",VN
1031,ChIJ1Z8zXo2JoDER01VTP-Tq7ww,QUÁN ĂN KIỀU OANH - QUÁN ĂN GIA ĐÌNH,Nhà hàng,Nhà hàng,,"XQQ3+248 QUÁN ĂN KIỀU OANH - QUÁN ĂN GIA ĐÌNH, Kv Thạnh Huề, Thường Thạnh, Cái Răng, Cần Thơ, Việt Nam","Thường Thạnh, Cái Răng","XQQ3+248, Kv Thạnh Huề",Cần Thơ,,"Cái Răng, Cần Thơ",VN
1038,ChIJKTYB2YSJoDERD_pV9U3JuIw,Quán Cơm Ban Mai,Gian hàng rong,"Gian hàng rong, Quán ăn tự phục vụ",+84 292 3843 487,"Quán Cơm Ban Mai, 102, KV2 Quốc Lộ 1A, Quận Cái Răng, Ba Láng, Cái Răng, Cần Thơ, Việt Nam","Ba Láng, Cái Răng","102, KV2 Quốc Lộ 1A, Quận Cái Răng",Cần Thơ,,"Cái Răng, Cần Thơ",VN
1048,ChIJCXTX0a-JoDERSSmcudIygws,Quán cơm Đức Minh,Quán ăn nhỏ,Quán ăn nhỏ,,"Quán cơm Đức Minh, 515 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",515 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1058,ChIJB-Vf3HaJoDERJ0Q9AeBc5aQ,Chân Gà Sả Tắc - Lê Dương,Quán ăn nhỏ,Quán ăn nhỏ,+84 366 314 724,"2Q9C+6CG Chân Gà Sả Tắc - Lê Dương, 12 Hẻm 553, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều","2Q9C+6CG, 12 Hẻm 553",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1071,ChIJqYFgF_RjoDERtnCf0YlGRng,Mì Quay Mã Lai,Quán ăn nhỏ,Quán ăn nhỏ,,"Mì Quay Mã Lai, 08 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",08 Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1072,ChIJ2b9XX6BioDERLj7hs2UT5Do,Cơm Tấm Phượng,Nhà hàng,Nhà hàng,,"Cơm Tấm Phượng, 12 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",12 Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1074,ChIJ6-0nac2HoDERupwHZ2Tie2s,Quán Ăn/Nhậu ANH ĐÀO,Nhà hàng,Nhà hàng,,"3Q6H+G5M Quán Ăn/Nhậu ANH ĐÀO, Đường số 1, Cồn Khương, Ninh Kiều, Cần Thơ, Việt Nam","Cồn Khương, Ninh Kiều","3Q6H+G5M, Đường số 1",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1075,ChIJqaBfWuiHoDER9S29zZ-US_8,Quán Ăn Bằng Lăng,Nhà hàng,Nhà hàng,,"Quán Ăn Bằng Lăng, 416 Huỳnh Mẫn Đạt, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ, Việt Nam","Bùi Hữu Nghĩa, Bình Thủy",416 Huỳnh Mẫn Đạt,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
1076,ChIJI0Gw0MyJoDER3GQIhkCZVaI,Quán ăn Thuận Phát,Quán ăn nhỏ,Quán ăn nhỏ,+84 939 939 011,"Quán ăn Thuận Phát, 116a Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ, Việt Nam","An Nghiệp, Ninh Kiều",116a Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1077,ChIJxZ8uvwaIoDER1zlGSjbB-r0,Quán Cơm Thúy Liễu,Nhà hàng,Nhà hàng,+84 387 122 832,"Quán Cơm Thúy Liễu, 114 Đ. Cách Mạng Tháng 8, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",114 Đ. Cách Mạng Tháng 8,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1078,ChIJTSyYQayJoDERJlGYa2QAHdI,Quán Cơm Chay Thiện Duyên,Quán ăn nhỏ,Quán ăn nhỏ,,"2QR6+6P3 Quán Cơm Chay Thiện Duyên, Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều","2QR6+6P3, Nguyễn Văn Cừ Nối Dài",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1079,ChIJQxgzi6BioDERqeUjLcYVag4,Quán Ăn Cơm Tấm - Bánh Tầm,Nhà hàng,Nhà hàng,+84 292 2480 136,"Quán Ăn Cơm Tấm - Bánh Tầm, 89A Đ. Ngô Quyền, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",89A Đ. Ngô Quyền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1085,ChIJC8yKEqqJoDERMVkMmU6iVbI,Quán Cơm An,Nhà hàng gia đình,Nhà hàng gia đình,+84 374 217 707,"Quán Cơm An, Cạnh 2/121C, Hẻm 311 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều","Cạnh 2/121C, Hẻm 311 Đ. Nguyễn Văn Cừ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1086,ChIJXZl6UKlioDERo7t7vtQRllw,Công Ty TNHH Ẩm Thực Ngon - Nhà Hàng Phố Biển,Nhà hàng,Nhà hàng,+84 292 3768 562,"2QXP+6W6 Công Ty TNHH Ẩm Thực Ngon - Nhà Hàng Phố Biển, Vòng Xoay Cồn, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều","2QXP+6W6, Vòng Xoay Cồn",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1087,ChIJx1jAWaBioDER1rGGNk3z4EM,Quán Ăn Bún Riêu,Quán ăn nhỏ,Quán ăn nhỏ,+84 933 858 744,"Quán Ăn Bún Riêu, 16 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",16 Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1088,ChIJBbkiQYdjoDERG82c2UMZVCA,Quán ăn Hoa Sen,Nhà hàng châu Á,Nhà hàng châu Á,,"Quán ăn Hoa Sen, 25 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",25 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1090,ChIJVRhs-7JjoDERaMGBeNrPWW4,Quán Cơm 18,Nhà hàng gia đình,Nhà hàng gia đình,,"Quán Cơm 18, 3B Sông Hậu, Cái Khế, Ninh Kiều, Cần Thơ 94000, Việt Nam","Cái Khế, Ninh Kiều",3B Sông Hậu,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
1093,ChIJ2b4M-IaJoDERQ6NkDfW4Vjc,Quán cơm gà A.Khánh,Nhà hàng thịt gà,Nhà hàng thịt gà,+84 917 566 339,"Quán cơm gà A.Khánh, 117 - 119 Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ 900000, Việt Nam","Phường An Khánh, Ninh Kiều",117 - 119 Nguyễn Tri Phương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
1094,ChIJ_6QWwyCIoDERHuB8sCw7oK8,Quán Ăn Lộc Đỉnh Ký,Nhà hàng,Nhà hàng,+84 842 822 822,"Quán Ăn Lộc Đỉnh Ký, 1, Quang Trung, Phường Hưng Phú, Quận Cái Răng, Thành Phố Cần Thơ, An Lạc, Ninh Kiều, Cần Thơ, Việt Nam","An Lạc, Ninh Kiều","1, Quang Trung, Phường Hưng Phú, Quận Cái Răng, Thành Phố Cần Thơ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1096,ChIJ5dwlR1hjoDERTB15tkNt5fo,Quán cơm sườn Chú Tư,Nhà hàng,Nhà hàng,,"2QPM+3GM Quán cơm sườn Chú Tư, An Cư, Ninh Kiều, Cần Thơ, Việt Nam","An Cư, Ninh Kiều",2QPM+3GM,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1097,ChIJQb-msFZjoDERutSqHkKx_Co,Quán Cơm BÀ CỤ,Quán ăn nhỏ,Quán ăn nhỏ,,"2QPP+3W3 Quán Cơm BÀ CỤ, Đ. Trần Quốc Toản, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều","2QPP+3W3, Đ. Trần Quốc Toản",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1098,ChIJhYIP3c5joDER7RSaqS60tXI,Đậu đỏ quán,Nhà hàng gia đình,Nhà hàng gia đình,+84 907 010 359,"Đậu đỏ quán, 34 Đ. Lương Định Của, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",34 Đ. Lương Định Của,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1121,ChIJ72UC86BioDER_JzvJSRX4lQ,Quán Cơm Tấm Đông Hồ 2,Nhà hàng,Nhà hàng,+84 397 945 998,"Quán Cơm Tấm Đông Hồ 2, 89A Đ. Ngô Quyền, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",89A Đ. Ngô Quyền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
